genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
OR499958.1	B.1.20.NmC1	B.1.20.NmC1 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_2_B.1.20.NmC1_OR499958.1
OR500003.1	B.1.20.NmC1	B.1.20.NmC1 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_2_B.1.20.NmC1_OR500003.1
PP507076.1	B.1.20.NmC1	B.1.6 + B.1.20.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_2_B.1.20.NmC1_PP507076.1
PV962901.1	B.1.20.NmC1	F.2 + F.5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_2_B.1.20.NmC1_PV962901.1
OP019276.1	B.1.1.NmC1	B.1.NmC8 + B.1.7	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_3_B.1.1.NmC1_OP019276.1
OR353567.1	B.1.2	B.1.17.NmC6 + B.1.2.NmC3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_4_B.1.2_OR353567.1
PV984907.1	B.1.3.NmC2	B.1.3.NmC2 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_5_B.1.3.NmC2_PV984907.1
OP605562.1	B.1.3.NmC2	B.1.3.NmC2 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_5_B.1.3.NmC2_OP605562.1
PV984894.1	B.1.3.NmC2	B.1.3.NmC2 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_5_B.1.3.NmC2_PV984894.1
PV984900.1	B.1.3.NmC2	B.1.3.NmC2 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_5_B.1.3.NmC2_PV984900.1
OR381836.1	E.2	B.1.17.NmC1 + E.2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_8_E.2_OR381836.1
